[Fri Dec 12 13:50:43 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "edit" in "notes(DayDayUp::Notes)"
[Fri Dec 12 13:50:51 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "edit" in "notes(DayDayUp::Notes)"
[Fri Dec 12 13:50:53 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Fri Dec 12 13:51:07 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "update" in "notes(DayDayUp::Notes)"
[Fri Dec 12 13:51:09 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Fri Dec 12 13:51:11 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "update" in "notes(DayDayUp::Notes)"
[Fri Dec 12 13:51:13 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Fri Dec 12 13:51:17 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "backup(DayDayUp::Backup)"
[Fri Dec 12 13:51:21 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "ftp" in "backup(DayDayUp::Backup)"
[Mon Dec 15 08:52:16 2008][info][Mojo::Server::Daemon:40] Server started (http://127.0.0.1:3000)
[Mon Dec 15 08:52:28 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "index(DayDayUp::Index)"
[Mon Dec 15 08:52:28 2008][debug][MojoX::Renderer:69] Rendering with handler "html"
[Mon Dec 15 08:52:28 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "favicon.ico(DayDayUp::Favicon.ico)"
[Mon Dec 15 08:52:31 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "favicon.ico(DayDayUp::Favicon.ico)"
[Mon Dec 15 08:54:51 2008][info][Mojo::Server::Daemon:40] Server started (http://127.0.0.1:3000)
[Mon Dec 15 08:55:00 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "index(DayDayUp::Index)"
[Mon Dec 15 08:55:00 2008][debug][MojoX::Renderer:69] Rendering with handler "html"
[Mon Dec 15 08:55:05 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Mon Dec 15 08:55:06 2008][debug][MojoX::Renderer:69] Rendering with handler "html"
[Mon Dec 15 08:55:11 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "update" in "notes(DayDayUp::Notes)"
[Mon Dec 15 08:55:11 2008][debug][MojoX::Renderer:69] Rendering with handler "html"
[Mon Dec 15 08:55:13 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Mon Dec 15 08:55:13 2008][debug][MojoX::Renderer:69] Rendering with handler "html"
[Mon Dec 15 08:58:51 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Mon Dec 15 08:58:51 2008][debug][MojoX::Renderer:69] Rendering with handler "html"
[Mon Dec 15 08:59:06 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "index(DayDayUp::Index)"
[Mon Dec 15 08:59:06 2008][debug][MojoX::Renderer:69] Rendering with handler "html"
[Mon Dec 15 09:23:01 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Mon Dec 15 09:23:02 2008][debug][MojoX::Renderer:69] Rendering with handler "html"
[Mon Dec 15 09:23:03 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "add" in "notes(DayDayUp::Notes)"
[Mon Dec 15 09:23:03 2008][debug][MojoX::Renderer:69] Rendering with handler "html"
[Mon Dec 15 09:23:10 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "add" in "notes(DayDayUp::Notes)"
[Mon Dec 15 09:23:11 2008][debug][MojoX::Renderer:69] Rendering with handler "html"
[Mon Dec 15 09:23:13 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Mon Dec 15 09:23:13 2008][debug][MojoX::Renderer:69] Rendering with handler "html"
[Mon Dec 15 09:32:52 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "update" in "notes(DayDayUp::Notes)"
[Mon Dec 15 09:32:53 2008][debug][MojoX::Renderer:69] Rendering with handler "html"
[Mon Dec 15 09:32:55 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "notes(DayDayUp::Notes)"
[Mon Dec 15 09:32:55 2008][debug][MojoX::Renderer:69] Rendering with handler "html"
[Mon Dec 15 09:38:53 2008][info][Mojo::Server::Daemon:40] Server started (http://127.0.0.1:3000)
[Mon Dec 15 09:39:00 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "index(DayDayUp::Index)"
[Mon Dec 15 09:39:00 2008][debug][MojoX::Renderer:69] Rendering with handler "html"
[Mon Dec 15 09:39:49 2008][info][Mojo::Server::Daemon:40] Server started (http://127.0.0.1:3000)
[Mon Dec 15 09:39:58 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "index(DayDayUp::Index)"
[Mon Dec 15 09:39:58 2008][debug][MojoX::Renderer:69] Rendering with handler "html"
[Mon Dec 15 09:40:38 2008][info][Mojo::Server::Daemon:40] Server started (http://127.0.0.1:3000)
[Mon Dec 15 09:40:43 2008][debug][MojoX::Dispatcher::Routes:73] Dispatching "index" in "index(DayDayUp::Index)"
